tiempo_s;iteraciones_no_lineales;error_no_lineal_relativo;incremento_RMS_K;Tmin_C;Tmax_C;T_cubierta_C;T_baldosa_EPS_C;T_EPS_forjado_C;T_forjado_aire_C
2;4;1.71885e-10;5.15596e-08;20.9;29.0407;28.8491;28.3942;27.0261;27
4;3;9.90253e-09;2.96957e-06;20.9;29.7733;29.6229;29.3158;27.0704;27
6;3;5.63211e-09;1.68859e-06;20.9;30.16;30.0377;29.8414;27.1211;27
8;3;3.2594e-09;9.77041e-07;20.9;30.3706;30.2691;30.1373;27.1707;27.0001
10;3;1.87199e-09;5.61061e-07;20.9;30.4854;30.3993;30.3042;27.2161;27.0001
12;3;1.06978e-09;3.20583e-07;20.9;30.5479;30.4729;30.3988;27.2566;27.0002
14;3;6.10516e-10;1.8293e-07;20.9;30.5821;30.5147;30.4526;27.2926;27.0003
16;3;3.49043e-10;1.04572e-07;20.9;30.6009;30.5385;30.4833;27.3247;27.0006
18;3;2.00574e-10;6.00844e-08;20.9;30.6113;30.5521;30.5011;27.3536;27.001
20;3;1.16336e-10;3.48464e-08;20.9;30.6171;30.5601;30.5115;27.3798;27.0017
22;2;8.2867e-09;2.48188e-06;20.9;30.6204;30.5647;30.5177;27.4039;27.0026
24;2;4.99592e-09;1.49615e-06;20.9;30.6224;30.5675;30.5215;27.4262;27.0039
26;2;3.11793e-09;9.33657e-07;20.9;30.6235;30.5693;30.5239;27.447;27.0056
28;2;2.0403e-09;6.10909e-07;20.9;30.6243;30.5704;30.5256;27.4665;27.0076
30;2;1.41666e-09;4.24146e-07;20.9;30.6248;30.5712;30.5267;27.485;27.0101
32;2;1.05116e-09;3.1469e-07;20.9;30.6251;30.5718;30.5277;27.5025;27.0129
34;2;8.32914e-10;2.49335e-07;20.9;30.6254;30.5723;30.5284;27.5192;27.0161
36;2;6.99102e-10;2.09263e-07;20.9;30.6256;30.5727;30.5291;27.5351;27.0197
38;2;6.14055e-10;1.83793e-07;20.9;30.6258;30.573;30.5296;27.5504;27.0237
40;2;5.57475e-10;1.66847e-07;20.9;30.626;30.5734;30.5302;27.5651;27.028
42;2;5.1777e-10;1.54954e-07;20.9;30.6262;30.5736;30.5307;27.5793;27.0327
44;2;4.88288e-10;1.46122e-07;20.9;30.6263;30.5739;30.5311;27.5929;27.0377
46;2;4.65185e-10;1.392e-07;20.9;30.6265;30.5742;30.5316;27.6062;27.043
48;2;4.46216e-10;1.33516e-07;20.9;30.6266;30.5744;30.532;27.619;27.0486
50;2;4.30055e-10;1.28673e-07;20.9;30.6267;30.5747;30.5324;27.6315;27.0544
52;2;4.159e-10;1.24431e-07;20.9;30.6268;30.5749;30.5329;27.6436;27.0605
54;2;4.03255e-10;1.20642e-07;20.9;30.6269;30.5751;30.5332;27.6554;27.0669
56;2;3.91805e-10;1.1721e-07;20.9;30.6271;30.5753;30.5336;27.6669;27.0734
58;2;3.81337e-10;1.14073e-07;20.9;30.6272;30.5756;30.534;27.6781;27.0802
60;2;3.71705e-10;1.11186e-07;20.9;30.6273;30.5758;30.5344;27.6891;27.0871
62;2;3.62801e-10;1.08518e-07;20.9;30.6274;30.576;30.5347;27.6998;27.0942
64;2;3.54542e-10;1.06043e-07;20.9;30.6274;30.5762;30.5351;27.7103;27.1014
66;2;3.46864e-10;1.03741e-07;20.9;30.6275;30.5764;30.5354;27.7206;27.1088
68;2;3.3971e-10;1.01597e-07;20.9;30.6276;30.5765;30.5357;27.7307;27.1164
70;2;3.33036e-10;9.95971e-08;20.9;30.6277;30.5767;30.5361;27.7406;27.124
72;2;3.268e-10;9.77282e-08;20.9;30.6278;30.5769;30.5364;27.7504;27.1318
74;2;3.20967e-10;9.598e-08;20.9;30.6279;30.5771;30.5367;27.76;27.1396
76;2;3.15505e-10;9.4343e-08;20.9;30.628;30.5773;30.537;27.7694;27.1476
78;2;3.10385e-10;9.28086e-08;20.9;30.628;30.5774;30.5373;27.7787;27.1556
80;2;3.05582e-10;9.13689e-08;20.9;30.6281;30.5776;30.5376;27.7879;27.1637
82;2;3.01071e-10;9.0017e-08;20.9;30.6282;30.5778;30.5379;27.797;27.1719
84;2;2.96831e-10;8.87462e-08;20.9;30.6282;30.5779;30.5382;27.8059;27.1801
86;2;2.92842e-10;8.75506e-08;20.9;30.6283;30.5781;30.5385;27.8147;27.1884
88;2;2.89086e-10;8.64247e-08;20.9;30.6284;30.5783;30.5388;27.8234;27.1967
90;2;2.85546e-10;8.53635e-08;20.9;30.6284;30.5784;30.5391;27.8321;27.2051
92;2;2.82205e-10;8.43622e-08;20.9;30.6285;30.5786;30.5393;27.8406;27.2135
94;2;2.79051e-10;8.34167e-08;20.9;30.6286;30.5787;30.5396;27.849;27.222
96;2;2.76069e-10;8.25228e-08;20.9;30.6286;30.5789;30.5399;27.8574;27.2305
98;2;2.73248e-10;8.1677e-08;20.9;30.6287;30.579;30.5402;27.8657;27.239
100;2;2.70575e-10;8.08757e-08;20.9;30.6288;30.5792;30.5404;27.8739;27.2475
102;2;2.6804e-10;8.01159e-08;20.9;30.6288;30.5793;30.5407;27.882;27.2561
104;2;2.65634e-10;7.93946e-08;20.9;30.6289;30.5795;30.541;27.8901;27.2646
106;2;2.63348e-10;7.8709e-08;20.9;30.6289;30.5796;30.5412;27.8981;27.2732
108;2;2.61172e-10;7.80568e-08;20.9;30.629;30.5798;30.5415;27.9061;27.2818
110;2;2.591e-10;7.74354e-08;20.9;30.629;30.5799;30.5417;27.914;27.2904
112;2;2.57124e-10;7.68429e-08;20.9;30.6291;30.5801;30.542;27.9218;27.299
114;2;2.55237e-10;7.62771e-08;20.9;30.6291;30.5802;30.5422;27.9296;27.3076
116;2;2.53433e-10;7.57362e-08;20.9;30.6292;30.5803;30.5425;27.9373;27.3162
118;2;2.51706e-10;7.52184e-08;20.9;30.6292;30.5805;30.5427;27.945;27.3248
120;2;2.50051e-10;7.47223e-08;20.9;30.6293;30.5806;30.543;27.9527;27.3334
122;2;2.48463e-10;7.42461e-08;20.9;30.6293;30.5808;30.5432;27.9603;27.342
124;2;2.46938e-10;7.37887e-08;20.9;30.6294;30.5809;30.5435;27.9678;27.3506
126;2;2.4547e-10;7.33487e-08;20.9;30.6294;30.581;30.5437;27.9753;27.3592
128;2;2.44057e-10;7.29248e-08;20.9;30.6295;30.5812;30.544;27.9828;27.3677
130;2;2.42694e-10;7.25161e-08;20.9;30.6295;30.5813;30.5442;27.9902;27.3763
132;2;2.41378e-10;7.21214e-08;20.9;30.6296;30.5814;30.5444;27.9976;27.3848
134;2;2.40105e-10;7.17399e-08;20.9;30.6296;30.5816;30.5447;28.005;27.3934
136;2;2.38874e-10;7.13705e-08;20.9;30.6297;30.5817;30.5449;28.0123;27.4019
138;2;2.3768e-10;7.10126e-08;20.9;30.6297;30.5818;30.5451;28.0196;27.4104
140;2;2.36522e-10;7.06654e-08;20.9;30.6298;30.582;30.5454;28.0269;27.4189
142;2;2.35397e-10;7.0328e-08;20.9;30.6298;30.5821;30.5456;28.0341;27.4274
144;2;2.34303e-10;7e-08;20.9;30.6299;30.5822;30.5458;28.0413;27.4359
146;2;2.33237e-10;6.96806e-08;20.9;30.6299;30.5824;30.5461;28.0485;27.4443
148;2;2.32199e-10;6.93693e-08;20.9;30.6299;30.5825;30.5463;28.0556;27.4528
150;2;2.31186e-10;6.90656e-08;20.9;30.63;30.5826;30.5465;28.0627;27.4612
152;2;2.30196e-10;6.8769e-08;20.9;30.63;30.5828;30.5468;28.0698;27.4696
154;2;2.29229e-10;6.8479e-08;20.9;30.6301;30.5829;30.547;28.0768;27.478
156;2;2.28282e-10;6.81952e-08;20.9;30.6301;30.583;30.5472;28.0839;27.4863
158;2;2.27355e-10;6.79172e-08;20.9;30.6302;30.5831;30.5474;28.0909;27.4947
160;2;2.26446e-10;6.76447e-08;20.9;30.6302;30.5833;30.5477;28.0978;27.503
162;2;2.25553e-10;6.73773e-08;20.9;30.6302;30.5834;30.5479;28.1048;27.5113
164;2;2.24677e-10;6.71148e-08;20.9;30.6303;30.5835;30.5481;28.1117;27.5196
166;2;2.23816e-10;6.68567e-08;20.9;30.6303;30.5836;30.5483;28.1186;27.5279
168;2;2.22969e-10;6.66028e-08;20.9;30.6304;30.5838;30.5486;28.1255;27.5361
170;2;2.22135e-10;6.6353e-08;20.9;30.6304;30.5839;30.5488;28.1323;27.5444
172;2;2.21313e-10;6.61069e-08;20.9;30.6304;30.584;30.549;28.1392;27.5526
174;2;2.20504e-10;6.58643e-08;20.9;30.6305;30.5841;30.5492;28.146;27.5608
176;2;2.19705e-10;6.56251e-08;20.9;30.6305;30.5843;30.5494;28.1527;27.5689
178;2;2.18917e-10;6.53891e-08;20.9;30.6305;30.5844;30.5496;28.1595;27.5771
180;2;2.18139e-10;6.5156e-08;20.9;30.6306;30.5845;30.5499;28.1662;27.5852
182;2;2.1737e-10;6.49257e-08;20.9;30.6306;30.5846;30.5501;28.1729;27.5933
184;2;2.1661e-10;6.46981e-08;20.9;30.6307;30.5847;30.5503;28.1796;27.6014
186;2;2.15858e-10;6.4473e-08;20.9;30.6307;30.5849;30.5505;28.1863;27.6095
188;2;2.15115e-10;6.42504e-08;20.9;30.6307;30.585;30.5507;28.1929;27.6175
190;2;2.14379e-10;6.403e-08;20.9;30.6308;30.5851;30.5509;28.1996;27.6255
192;2;2.1365e-10;6.38117e-08;20.9;30.6308;30.5852;30.5511;28.2062;27.6335
194;2;2.12927e-10;6.35955e-08;20.9;30.6308;30.5853;30.5514;28.2128;27.6415
196;2;2.12212e-10;6.33813e-08;20.9;30.6309;30.5855;30.5516;28.2193;27.6495
198;2;2.11502e-10;6.3169e-08;20.9;30.6309;30.5856;30.5518;28.2259;27.6574
200;2;2.10799e-10;6.29584e-08;20.9;30.6309;30.5857;30.552;28.2324;27.6653
202;2;2.10101e-10;6.27496e-08;20.9;30.631;30.5858;30.5522;28.2389;27.6732
204;2;2.09408e-10;6.25423e-08;20.9;30.631;30.5859;30.5524;28.2454;27.6811
206;2;2.08721e-10;6.23367e-08;20.9;30.631;30.5861;30.5526;28.2518;27.6889
208;2;2.08039e-10;6.21326e-08;20.9;30.6311;30.5862;30.5528;28.2583;27.6967
210;2;2.07361e-10;6.19299e-08;20.9;30.6311;30.5863;30.553;28.2647;27.7045
212;2;2.06688e-10;6.17286e-08;20.9;30.6311;30.5864;30.5532;28.2711;27.7123
214;2;2.0602e-10;6.15286e-08;20.9;30.6312;30.5865;30.5534;28.2775;27.7201
216;2;2.05356e-10;6.13299e-08;20.9;30.6312;30.5866;30.5536;28.2838;27.7278
218;2;2.04696e-10;6.11325e-08;20.9;30.6312;30.5868;30.5539;28.2902;27.7355
